Time,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,AIC fold,AIC hopf
48.0,0.0016982733393478304,0.14080317524761748,-0.4493276875188137,0.18454394247751832,,
48.5,0.0017110377854797237,0.13953336748258022,-0.45684174536820166,0.1861549428886951,,
49.0,0.0017247543607795742,0.13639036255472942,-0.4598330012362254,0.1908704079407247,,
49.5,0.0017388872433928677,0.13555218302470592,-0.4653482451547459,0.19757668435444647,0.08825526457099109,0.8897726608441148
50.0,0.0017510718164007557,0.1315359543536309,-0.46908277751465133,0.1980781014157894,,
50.5,0.001769796724788953,0.12760718928730294,-0.47456685634062895,0.20125981866531797,,
51.0,0.0017896436102222285,0.12758365439088412,-0.4775893163738001,0.20491940843857864,,
51.5,0.001818335018603406,0.12253799365854472,-0.4849997105289001,0.21079514484261241,,
52.0,0.0018423280835615688,0.12245006957800243,-0.4925456934197093,0.21615949830724474,0.08216041134708287,0.8975365492432986
52.5,0.001858335863054217,0.11726404237968246,-0.5008286052098854,0.22300979951946145,,
53.0,0.00187717337368868,0.11691739996219976,-0.5055506912827942,0.23141539824725793,,
53.5,0.0019014825350234582,0.11351716405475724,-0.5114286265585917,0.23701586111635603,,
54.0,0.001921175019951291,0.110284415292555,-0.5165378192369127,0.2454446467569618,,
54.5,0.00194124842543867,0.10620055071074344,-0.5193656972865859,0.24727506559111034,0.051507932085275765,0.9384263855863528
55.0,0.0019602796953697367,0.10577721185407349,-0.5265512159373043,0.2537437926860598,,
55.5,0.001987592848030431,0.10086102986978346,-0.5323652598778573,0.2613413780471847,,
56.0,0.0020140196665462485,0.09867444052745686,-0.5365641076611919,0.2660717901814754,,
56.5,0.002034625054019829,0.09745521680236983,-0.5401562034968121,0.2740223395534091,,
57.0,0.0020602674095190777,0.0947919240874326,-0.5470882448070591,0.2813946974448539,0.03871168624905212,0.9560237178827025
57.5,0.0020868454264820345,0.0920717028236186,-0.5543572718730146,0.28652934828551024,,
58.0,0.0021145267735667274,0.08946104745681245,-0.5597632372084096,0.29348889003994794,,
58.5,0.002144593153444797,0.08766058356283106,-0.5655361271947215,0.3005695038836182,,
59.0,0.002176658707381762,0.0844347240326505,-0.5715096812013667,0.30622526074736495,,
59.5,0.002208050832368394,0.08190754836911773,-0.5769925009455161,0.3125013187115451,0.02918296674289046,0.9659878157652336
60.0,0.002236079879626687,0.0773117608937724,-0.5820596817765835,0.3180971975608127,,
60.5,0.0022780299526107893,0.08241655347065555,-0.5869770103075548,0.32502292067070443,,
61.0,0.0023056749863091088,0.07229460446031825,-0.5896543320384056,0.3305640401899669,,
61.5,0.0023559613970296836,0.0777518276208288,-0.5948671898654281,0.33652563387906526,,
62.0,0.0023806365535473774,0.07416144060418382,-0.5985839501314151,0.3398515078462598,0.016850832471678023,0.9782050051020348
62.5,0.0024154522512516495,0.07391865266155252,-0.6024426334643245,0.3461880868481186,,
63.0,0.002447639305888516,0.06814760801827657,-0.608774503259756,0.35167236272723984,,
63.5,0.0024860125458619126,0.07033115517402835,-0.6142140597626236,0.3598081727832782,,
64.0,0.0025269079175655705,0.06496487154391638,-0.6184652591540281,0.3664558913953564,,
64.5,0.0025699632535810778,0.06410018323634564,-0.6222162446522637,0.3716313880563474,0.019073378431261903,0.9746286874211972
65.0,0.0026133863921815326,0.05939318340302122,-0.627077954930027,0.37843822971644087,,
65.5,0.002670989817510155,0.059891945254293234,-0.6321077141806907,0.38354987549032943,,
66.0,0.0027224015896432515,0.05515189481032889,-0.6381789727866549,0.38966441665429913,,
66.5,0.0027630098306150406,0.05433725606194686,-0.6440607921402831,0.39447227639892235,,
67.0,0.0028120539149194845,0.05017379135137663,-0.6487347802504481,0.4004566791043308,0.010073038649417063,0.9897160893990978
67.5,0.0028514027925359035,0.04935511757446579,-0.6517566425062223,0.40663694242017195,,
68.0,0.0028990322053423696,0.04508716039492082,-0.657528279577414,0.41368830044853894,,
68.5,0.002940878235174172,0.039556815451443524,-0.6608544520863643,0.4174863141631452,,
69.0,0.0029969438310676584,0.041976595876252666,-0.6663492625474509,0.42531958434219425,,
69.5,0.0030467207827119687,0.0358232170366237,-0.6700547860994811,0.42893828302473513,0.008190554520183572,0.9894625196728712
70.0,0.0030933095478305707,0.03697608032330101,-0.6745507192818938,0.4355704377288924,,
70.5,0.003150406598964496,0.03508924248409104,-0.677610951398965,0.4410864339456343,,
71.0,0.003210462357270151,0.03211562946772948,-0.680479503295023,0.44834425818971185,,
71.5,0.003259812982469932,0.029410318645000464,-0.6832888828768905,0.45291894210539246,,
72.0,0.003334346793335859,0.030649493725751143,-0.6869113869076986,0.4598891370661682,0.014808707562856804,0.9837757327382864
72.5,0.003401492779073308,0.028334194286300952,-0.6901865842512102,0.4677598454195813,,
73.0,0.0034825594786143015,0.025848295222618032,-0.6966712764424412,0.4732476424524645,,
73.5,0.003546317502460086,0.024235101317085627,-0.7011189326979895,0.4775677345642311,,
74.0,0.003606333329516199,0.02187831562513166,-0.70617154025977,0.48548435527735206,,
74.5,0.0036847164337641307,0.018666944130152328,-0.7114738103651981,0.4950842099398687,8.889282130661331e-06,0.9999888250187415
75.0,0.0037682399807117705,0.016056190822543507,-0.7169030180521887,0.5041042159264493,,
75.5,0.003872116206440891,0.012529355093173631,-0.7231486908041629,0.5136734189150768,,
76.0,0.003960634954846599,0.011455342358029794,-0.7275292229078721,0.5226008505134025,,
76.5,0.0040546746989234,0.007400195401967814,-0.7324630432069569,0.5315424426348464,,
77.0,0.004162003492877061,0.008198473606115851,-0.7384714805040402,0.5387544101994437,0.011019807516596217,0.988245084542394
77.5,0.004255600266466986,0.002902216742170025,-0.7430651185970713,0.5439283139086013,,
78.0,0.004352916126968268,0.003274105729845171,-0.7477216982751566,0.5509202888305399,,
78.5,0.0044383607860461905,0.0008391358998993364,-0.7507440555144207,0.5573947144149775,,
79.0,0.004541283819974212,0.0010634871719555124,-0.7547063898356366,0.5635200302201069,,
79.5,0.004659309237818102,-0.0012329785483704218,-0.7583993250910953,0.5708701379488211,8.848500292342332e-06,0.9999832808518083
80.0,0.00477303982569277,-0.001714546397815589,-0.7616521374129125,0.5785802034449186,,
80.5,0.0048930935140806125,-0.0032564037172236756,-0.765654561850882,0.5846963228808758,,
81.0,0.005015364299489845,-0.004156099494229215,-0.768785450018209,0.5898319630567911,,
81.5,0.005142102808031553,-0.006571675089113052,-0.7727913910243928,0.5959368719026455,,
82.0,0.005271860961814468,-0.009140241259060697,-0.7775204612145026,0.6038158384961517,6.143845976925282e-10,0.999999998147493
82.5,0.00540848573572974,-0.00881683182851016,-0.7812932590221214,0.6107258413911507,,
83.0,0.005570507362336378,-0.010235334612023226,-0.7863568250397978,0.619003103169867,,
83.5,0.005724120688542392,-0.010443961851492203,-0.7897749772912465,0.6242929781701079,,
84.0,0.005893038573793811,-0.01181146524651134,-0.7939553417641518,0.6310845125655975,,
84.5,0.006065529031896233,-0.013004193433772475,-0.797134437289314,0.635084354709296,1.6334651044886335e-11,0.9999999999643086
85.0,0.006275126333287747,-0.01140958734529603,-0.8008507136187848,0.643177077701644,,
85.5,0.006468432235177199,-0.014097624332869296,-0.8067952673509243,0.6484896775133897,,
86.0,0.006654534869892852,-0.01434150241669443,-0.8113831688890184,0.6564052791663741,,
86.5,0.006861794669385805,-0.017472836174920195,-0.8164008757537813,0.6658808717907053,,
87.0,0.007125682212264231,-0.016629196214426545,-0.8208323586694931,0.6726952238543946,4.405359079582933e-11,0.9999999998495979
87.5,0.007354780278400167,-0.019155196808902705,-0.8250881428267424,0.6796736266547021,,
88.0,0.007629407649120951,-0.021992887637047258,-0.827939716995569,0.6862709504634381,,
