Time,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,AIC fold,AIC hopf
0.0,,,,,,
0.5,,,,,,
1.0,,,,,,
1.5,,,,,,
2.0,,,,,,
2.5,,,,,,
3.0,,,,,,
3.5,,,,,,
4.0,,,,,,
4.5,,,,,,
5.0,,,,,,
5.5,,,,,,
6.0,,,,,,
6.5,,,,,,
7.0,,,,,,
7.5,,,,,,
8.0,,,,,,
8.5,,,,,,
9.0,,,,,,
9.5,,,,,,
10.0,,,,,,
10.5,,,,,,
11.0,,,,,,
11.5,,,,,,
12.0,,,,,,
12.5,,,,,,
13.0,,,,,,
13.5,,,,,,
14.0,,,,,,
14.5,,,,,,
15.0,,,,,,
15.5,,,,,,
16.0,,,,,,
16.5,,,,,,
17.0,,,,,,
17.5,,,,,,
18.0,,,,,,
18.5,,,,,,
19.0,,,,,,
19.5,,,,,,
20.0,,,,,,
20.5,,,,,,
21.0,,,,,,
21.5,,,,,,
22.0,,,,,,
22.5,,,,,,
23.0,,,,,,
23.5,,,,,,
24.0,,,,,,
24.5,,,,,,
25.0,,,,,,
25.5,,,,,,
26.0,,,,,,
26.5,,,,,,
27.0,,,,,,
27.5,,,,,,
28.0,,,,,,
28.5,,,,,,
29.0,,,,,,
29.5,,,,,,
30.0,,,,,,
30.5,,,,,,
31.0,,,,,,
31.5,,,,,,
32.0,,,,,,
32.5,,,,,,
33.0,,,,,,
33.5,,,,,,
34.0,,,,,,
34.5,,,,,,
35.0,,,,,,
35.5,,,,,,
36.0,,,,,,
36.5,,,,,,
37.0,0.001778342740500309,0.2800249781045362,-0.25070460379997095,0.15403586602672342,0.24715696110911348,0.7399004300041813
37.5,0.0017654795699387042,0.2646604247316855,-0.26715534603277646,0.15237776959700416,,
38.0,0.001748192319827199,0.25445372290035406,-0.29445591603236865,0.15554789510683956,,
38.5,0.0017415380404952226,0.236749497379732,-0.3128166641921733,0.15914600699032402,,
39.0,0.0017323935441988677,0.23304875056106886,-0.3300695509382795,0.14953069534243513,,
39.5,0.0017109764735460345,0.2315260189224612,-0.33467434947567226,0.1419450688440596,0.37458883859809566,0.5686990112120108
40.0,0.0017098235002787625,0.2223622088095365,-0.3500966946076092,0.1402026914898881,,
40.5,0.0017239511961283237,0.21682795392267415,-0.36175079160308854,0.1372320215817078,,
41.0,0.001720762350328062,0.20348991034136982,-0.3679451485979694,0.13783898357294064,,
41.5,0.0017097947378349714,0.1949144858048582,-0.37380049849931907,0.13982809192886478,,
42.0,0.0017266103157449562,0.1939586715146449,-0.3790411587309553,0.1342791795979949,0.17896638585618221,0.7961258448072746
42.5,0.0017348477167247322,0.1821807861971106,-0.3882043171592309,0.13479331355326346,,
43.0,0.0017992554504114408,0.19007519926562497,-0.39137263138144385,0.1352469394343451,,
43.5,0.0018132333425055936,0.17956939919993,-0.4004287006058904,0.13987297898877316,,
44.0,0.001855653988873039,0.1767495714600646,-0.42695792913744174,0.14622320470705005,,
44.5,0.0018907947062676608,0.17000990746142577,-0.4408336147830344,0.14528136734041477,0.08856640753470832,0.9017158474076765
45.0,0.0018851454282137533,0.16423275497400272,-0.43571727028693913,0.14428532601196703,,
45.5,0.0018971327295779176,0.1702176703810978,-0.4405605063680264,0.15543512884113336,,
46.0,0.0019203603169665594,0.1628094999079573,-0.4447480690615483,0.15992661861386231,,
46.5,0.001922380704254017,0.16262699102858613,-0.45546556901861435,0.1669525351141285,,
47.0,0.0019450245266514187,0.15136289560510674,-0.4618109494143952,0.16985698941397664,0.0014474881593999605,0.9983360882514495
