Time,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,AIC fold,AIC hopf
48.0,0.000388918537065883,0.07066239335836118,0.09668765454067661,0.13170439345745413,,
48.5,0.0003837890561374344,0.0701535579513036,0.0920055385625946,0.13020985751511527,,
49.0,0.00037899424781804035,0.07363831482098737,0.09154276525838338,0.12607728087079598,,
49.5,0.0003811625644402583,0.07192590667790899,0.09085497812988164,0.12191611667496982,0.25458930540162983,0.2932811285592701
50.0,0.0003831108043197928,0.07249166951271321,0.09024189088690121,0.12416071900741706,,
50.5,0.0003885974285760256,0.07332099821111945,0.09318214555925791,0.1250366606708331,,
51.0,0.00039555496585461954,0.07440453961507912,0.09276885411753993,0.12734159688898028,,
51.5,0.00040492048169634266,0.07503446443978606,0.09526851407449538,0.12715523105938598,,
52.0,0.0004137234774913991,0.07058908567943108,0.09477818079374424,0.12770649521127378,0.24331425298015397,0.29246634291242374
52.5,0.00040649662316351233,0.07231338369532822,0.09020103535771504,0.12890201070428042,,
53.0,0.0004131248314597488,0.07328782857604137,0.09245077333169399,0.12909497105553508,,
53.5,0.0004231407040794955,0.0710740016079105,0.09227522561160907,0.13111440022315898,,
54.0,0.000440943668125836,0.0720440145060863,0.09528103215858431,0.13230249166113517,,
54.5,0.0004402820133901297,0.07036527698328812,0.09416621550812354,0.1362413767178251,0.20053552552878046,0.22662221706620897
55.0,0.0004508449398660178,0.06962718888126881,0.0942344676808042,0.13833169023258027,,
55.5,0.00045901308422993046,0.06779500839784536,0.09601226812342138,0.13895531683380508,,
56.0,0.0004545060001776569,0.06937458758584242,0.09619180671852548,0.13971761767508845,,
56.5,0.0004572489633331541,0.06772159615633347,0.09749063070831734,0.13856824553498506,,
57.0,0.000457259492790806,0.06707450017313821,0.09588483238534623,0.13675302254712035,0.16731228890562966,0.18567260410310077
57.5,0.0004544530311606675,0.06820273343145448,0.09477954905674822,0.13473699650229096,,
58.0,0.0004700517665046031,0.06698695623869151,0.09439103382080861,0.13135199860326147,,
58.5,0.0004850336916729594,0.0682610881483338,0.09542652352796223,0.1299521497098259,,
59.0,0.0004981761604616437,0.06843678539690057,0.09251604450224014,0.12484960240913114,,
59.5,0.0005325723576103368,0.06703307610892213,0.09333759724257004,0.12320654667977679,0.1520982266902429,0.16979375457082665
60.0,0.0005422841141888707,0.06737606575973482,0.09229488301165685,0.12147381525988718,,
60.5,0.0005746103373615405,0.0675568723841817,0.09380837564523735,0.12493387482495452,,
61.0,0.0005879291720533308,0.0673630939447446,0.09361368561755976,0.12596794754863455,,
61.5,0.0006329688448152721,0.0665750383449679,0.09432756190695445,0.127487203174829,,
62.0,0.0006330339378728796,0.06701605003954662,0.09358322880557433,0.12595189883950825,0.10764427797416917,0.12447654055316952
62.5,0.0006669872831407281,0.06666874333821599,0.09556999039843272,0.12897959061432523,,
63.0,0.0006723824628571023,0.06481543798623608,0.09216149896089146,0.12899968891686414,,
63.5,0.0006945151890367873,0.06661707981744536,0.09117501857796624,0.13195122004445017,,
64.0,0.0007096857927869538,0.05992716629453834,0.08950125162954216,0.13031717006669774,,
64.5,0.000733748798990117,0.059945184649056224,0.08988322982434375,0.1331166869259823,0.11598086350360812,0.1456120207781866
65.0,0.0007491917669438649,0.06073920760380109,0.08937667122755438,0.13148239574125214,,
65.5,0.0007785559515741682,0.0586852094090371,0.09263639242589745,0.13628377320021,,
66.0,0.0008099625290467504,0.06190093411651834,0.08959242254117677,0.137173020674094,,
66.5,0.0008256599771801281,0.059317700975976835,0.08834927058597244,0.13902731499582205,,
67.0,0.0008421050600181773,0.05926172145421853,0.08675444680953162,0.1375082988735144,0.09977718214542466,0.09996488412575975
67.5,0.00084284698262398,0.055807004681791506,0.08817768357030166,0.13807827565976566,,
68.0,0.0008542675736741321,0.058507882749952736,0.08466662950420054,0.13600038941629056,,
68.5,0.0008700270412372057,0.058462700414907975,0.08620334009945563,0.13779501367133537,,
69.0,0.0008788335468357703,0.05815142088562162,0.08395799984085105,0.1321229240153997,,
69.5,0.0009099012241697018,0.0618948226554476,0.08430180684087484,0.1324209992514473,0.07582047874616558,0.09892645451603538
70.0,0.0009237126084904673,0.05703367094061069,0.08370704112864517,0.1294779585661877,,
70.5,0.0009393892495365144,0.059572231776727436,0.08388119744491852,0.13098851423524846,,
71.0,0.0009500733467566049,0.05940723086456049,0.08481140528313562,0.12804378609691897,,
71.5,0.0009675574838886762,0.05824697456501016,0.08581476097353696,0.13274456125028455,,
72.0,0.0009860626825265247,0.06450522629790498,0.08470553786926815,0.1288314508322314,0.11044882774376513,0.11724812211569535
72.5,0.001019409710391203,0.06292861271822477,0.08700773241248944,0.1297191876023467,,
73.0,0.0010417824063851458,0.06092786399246186,0.08530775482510874,0.128621867815915,,
73.5,0.0010538338845852294,0.06114761369790317,0.08479392350406503,0.12822045204888996,,
74.0,0.0010938236756989378,0.058589340041225825,0.08304462934960305,0.12811001333029448,,
74.5,0.00112151649733423,0.05553384469038402,0.08365760158453636,0.12749763074857132,5.731859461685243e-05,7.029537820529136e-05
75.0,0.0011716959524879814,0.0561766059615876,0.08083720455889304,0.12457452501076216,,
75.5,0.0012129606557007564,0.054904680565418744,0.07865863939615556,0.12325695108157525,,
76.0,0.001234239561639366,0.051127286579218105,0.07585871945682843,0.1221391851173725,,
76.5,0.001282186868105481,0.053258723189062114,0.07434849070824226,0.11998165972348877,,
77.0,0.0013394228162279416,0.05102620362943267,0.07412809537663054,0.11993810900336634,0.09526444719337712,0.10133338739492323
77.5,0.0013886051844873972,0.05093375952559285,0.07287332654827042,0.11899988549119007,,
78.0,0.0014334787895913142,0.05124671929709505,0.07394757488102591,0.119996905917621,,
78.5,0.00149156604333906,0.04699419019070377,0.07446725242410952,0.11930723547270133,,
79.0,0.001540646002970064,0.05102462372693327,0.07495807717000515,0.11939282281279469,,
79.5,0.001627652538606051,0.051245009311669046,0.07589086958666506,0.12030389789811702,8.747401811119361e-05,0.0001655206354743354
80.0,0.0016964158870200405,0.049767928903334105,0.07543650603869126,0.12063318821614616,,
80.5,0.0017776542467056226,0.048439783186436734,0.07453215082458638,0.12129731055129636,,
81.0,0.001814505555549856,0.048938363681035026,0.07538876616749404,0.12150102714197915,,
81.5,0.0018999393494475586,0.046612026050914586,0.07479866920085752,0.12295630900570498,,
82.0,0.001947733381854987,0.04622153074226479,0.07437503623590039,0.12255565131147331,4.4344410099118565e-09,1.318186586399217e-08
82.5,0.0020126328927772955,0.04682405970733074,0.07443822174170532,0.12225792996243019,,
83.0,0.0020678010635498422,0.046784842555947774,0.07490250859126361,0.1221376480054298,,
83.5,0.0021534839224357743,0.04806406367782478,0.07466948850623434,0.12411510171655134,,
84.0,0.002222786673044215,0.04259594490631096,0.07350992824101343,0.12373613177582059,,
84.5,0.0022602017589508864,0.048014736888253154,0.0703199196641257,0.1233628361793217,1.560467631077817e-10,3.3171715562641546e-10
85.0,0.002344488582542518,0.04311498191590668,0.07050770657186578,0.1223006908088887,,
85.5,0.0024056710719037194,0.041278227935867745,0.06628275110202365,0.11814189679007438,,
86.0,0.0024632793686167574,0.0393504693455923,0.06564732223823617,0.11621784336322379,,
86.5,0.0025197158235889376,0.040877524199146816,0.06241954727653236,0.11123705593203177,,
87.0,0.0026530382622685683,0.040480315286783926,0.06191013021243581,0.1118736069430383,2.8943939381944274e-10,9.853134119173381e-10
87.5,0.0027485751036158785,0.040241496581501716,0.06057780661743258,0.1115378341875899,,
88.0,0.0028992438631068565,0.037850815773945286,0.062420220716984304,0.11260468578556336,,
88.5,0.002954240383220311,0.042621725431378446,0.05964699999602468,0.11141027929298554,,
89.0,0.003116345413587879,0.03885350658546119,0.05852326506325434,0.11199222513953301,,
89.5,0.0032003683508356143,0.04001209840186135,0.05745066011225908,0.1103354464199606,4.2728263564548377e-10,7.059135670594253e-10
90.0,0.003310709343568526,0.03755317312572508,0.05582383442039496,0.10902718220362839,,
90.5,0.003448092179809597,0.039313662108162,0.05536849266870526,0.10857699413237845,,
91.0,0.003591227909401323,0.03850043406116453,0.05356067642062362,0.10752682089840863,,
91.5,0.0037181726903876295,0.038003248978433296,0.05195293150365919,0.10561014549282378,,
92.0,0.003861470655990208,0.0338335889351002,0.05112850049067191,0.104526637099743,6.02648259156881e-08,7.916987196915933e-08
92.5,0.004020208842254582,0.04126980773062029,0.050340490940646875,0.10518510307172967,,
93.0,0.004134589313139897,0.03614897555111335,0.05032606594726176,0.10543579367005354,,
93.5,0.0042424858112360105,0.03665728894409946,0.05067449432510052,0.1047066037567555,,
94.0,0.004391112097490796,0.0366939405339551,0.04976812618005917,0.1046422571181205,,
94.5,0.004591923492609164,0.04025044942806522,0.05053358066662042,0.10643651921196133,8.402877241103753e-07,1.3878422385201085e-06
95.0,0.004680185348502708,0.035523792413426285,0.048922911551695626,0.10233580877780453,,
95.5,0.0047926693510880365,0.035058189658761535,0.04775524548961126,0.09930601957697291,,
96.0,0.004946245597071561,0.035537811136653503,0.04722330485980494,0.0971688782002152,,
96.5,0.005057511626321354,0.036679320866297105,0.04557685419086517,0.09265068017808938,,
97.0,0.005227475054818594,0.03760296146127077,0.045195369468829606,0.09155077327445899,1.5208878394151563e-10,3.1002392370351287e-10
97.5,0.0052858564707662994,0.034794859993548186,0.04459601515267329,0.08848954143364066,,
98.0,0.005422897743310559,0.03556559578977472,0.04450553995766487,0.08678583396677708,,
98.5,0.005522035850668448,0.037816298203709214,0.04406368984207206,0.0836541337757132,,
99.0,0.005635298809196685,0.0339896312371246,0.04325595882913937,0.08332495463559059,,
99.5,0.005689249726770124,0.037368499673931604,0.04159679919945363,0.08108464442500062,8.765480735156015e-16,4.171884134911318e-15
100.0,0.005845423286895525,0.033869937353968954,0.03989587971182451,0.07869568816486439,,
100.5,0.005865210144934956,0.03828209621081531,0.03705939068117028,0.07401522975249643,,
101.0,0.006069847242776854,0.03534669241740894,0.03528509791486277,0.06992200098356931,,
101.5,0.0061042524584161845,0.038016286678962806,0.032895555954288704,0.06447228432586947,,
102.0,0.006243248697103986,0.03704876216873003,0.03178468604870612,0.06131654168874997,9.196645476567197e-18,3.156004588861012e-17
102.5,0.0062522263700625,0.04068692827936703,0.029277257185751422,0.05658116766504568,,
103.0,0.006421859439262281,0.03754494173726742,0.02995093098933255,0.05427184505432611,,
103.5,0.006411738177419831,0.03891829566445678,0.028492846902458013,0.051137919200349276,,
104.0,0.006596761963120355,0.03621105038419894,0.028344506314606485,0.052444173430728006,,
104.5,0.0066960238001833716,0.037389833083277445,0.02691625149755997,0.049987437597936966,2.173475371936451e-18,0.0
105.0,0.0069042062855309665,0.03593828693779264,0.025868735740822137,0.04898018181399746,,
105.5,0.006823052211490321,0.036652311070110695,0.02539287986110202,0.04591734073863981,,
106.0,0.006890842632727401,0.035536609722621994,0.023898936074417367,0.044483923559619075,,
106.5,0.006880556026777595,0.03652815160011236,0.0234421834008004,0.04290339067536953,,
107.0,0.007072233301640216,0.034675156171504365,0.025971169079132984,0.04360996805273506,1.09298858902944e-16,4.325856640924197e-16
107.5,0.006983437326593813,0.03383803372440456,0.024207845084882065,0.04100622035596493,,
108.0,0.007064772944815365,0.034431751521170104,0.022930439443174373,0.0430134402368975,,
108.5,0.007038984667698262,0.03535494715103864,0.02317641725008932,0.04037832558205128,,
109.0,0.007203887334076697,0.032119920233446654,0.022637933545203232,0.039856228166027276,,
109.5,0.007129844576507568,0.033671727974882416,0.022735498970015363,0.041250692834059355,2.7274320902493295e-16,1.1060096393129791e-15
110.0,0.007231739778333801,0.03252723179196819,0.021262532273041458,0.04015156502651399,,
110.5,0.007299564770119283,0.0340648813319501,0.020701780703591043,0.04017657170554366,,
111.0,0.007395825062665104,0.03244401994914268,0.0206392690814747,0.03874040925023225,,
111.5,0.007398469960646714,0.033373217987485035,0.020609262731198084,0.037292885878822374,,
112.0,0.007521751551122356,0.03274665027105532,0.020571373453232705,0.03838977818043475,1.4458672274669223e-14,5.866136988162529e-14
112.5,0.007563419821725861,0.03308664124648191,0.020428634295428152,0.03906968122215339,,
113.0,0.007543310523221859,0.029644155232664133,0.019990451029258855,0.03774940332182434,,
113.5,0.007530324711258575,0.029935734754554962,0.0190283470301404,0.0365878613357558,,
114.0,0.007491549429699313,0.031107162747181782,0.020023965197050363,0.03642330458143511,,
114.5,0.007530254367971517,0.029584880400589354,0.020047437253486365,0.034966051783226884,9.679093124699181e-20,0.0
115.0,0.007505759000660255,0.0313390945145197,0.020313995066768592,0.03637281599832641,,
115.5,0.007683268376387828,0.028770715637191305,0.0205599789161589,0.036435517637726705,,
116.0,0.007643262874510157,0.03036986500013555,0.02116121502692546,0.03909977545967443,,
116.5,0.007699235264995325,0.028803919549390287,0.021259254101134124,0.0395715932445769,,
117.0,0.007739378222988598,0.027251936527470638,0.02054126622225733,0.03891463334974567,3.636717300168445e-19,0.0
117.5,0.007813934373114185,0.028266361102916842,0.02072545237619676,0.039308154701228365,,
118.0,0.0078007116902752945,0.02826167091531864,0.0207840702736666,0.03798554559064527,,
118.5,0.0077376704486913075,0.031998488942918804,0.021586606744547487,0.04008437488417097,,
119.0,0.007882386804424013,0.0262858360744235,0.021065451118691212,0.03947126741873993,,
119.5,0.007912489809111859,0.03058749013950964,0.020783590800405028,0.042476049987796874,4.968041390343335e-20,0.0
120.0,0.008011699389183558,0.024917679716334316,0.020779034670072413,0.04056471554605212,,
120.5,0.008021435380335068,0.02969528497440934,0.021111023335323564,0.041475138200851115,,
121.0,0.008125715590615545,0.025660536961736535,0.02119335224642882,0.04252360959415979,,
121.5,0.00826647133239682,0.029749822159129368,0.02112112295056704,0.04197566385844427,,
122.0,0.00822865201901556,0.024507402771077928,0.02157786567536909,0.04423129601706224,7.892048884105822e-20,0.0
122.5,0.008054145987542899,0.027865782519526736,0.021537521081660342,0.04455069816052847,,
123.0,0.00812757417720215,0.02456524734528716,0.021460150379565376,0.04606259461982066,,
123.5,0.008174905815261495,0.02629663155125259,0.020330766502237845,0.04581416730982953,,
124.0,0.00815352179596471,0.02555662864799388,0.020373743004981903,0.04624778692545127,,
124.5,0.008113241880012525,0.0250905307493708,0.019919723547395726,0.04366752392771861,1.5640680033864333e-22,0.0
125.0,0.007994114634360628,0.024323685928049565,0.02077583755874568,0.04500647296109862,,
125.5,0.007946361880758644,0.025135440823809696,0.020605870887556377,0.04338970537099426,,
126.0,0.008165607669887442,0.023950190506987774,0.02089101628028716,0.04545233290494888,,
126.5,0.008179719414881976,0.022756434145618013,0.021184948577369658,0.04692657470628997,,
127.0,0.00814896785507486,0.02450270449742971,0.021364366794907358,0.048120992014250456,7.63125889520762e-22,0.0
127.5,0.00822491910995396,0.02269561357035367,0.02197155313808894,0.049829705509640033,,
128.0,0.008442881855128329,0.02302010701470377,0.021394222513307953,0.04923501569867813,,
128.5,0.008554293250560582,0.02292989469230402,0.022569095663638232,0.051425198454874484,,
129.0,0.008579133209872013,0.02411482340097938,0.024402199824475775,0.05239140792027302,,
129.5,0.008466808032571323,0.02284450298801852,0.024447571057158356,0.05644053246681314,1.04399675294302e-21,0.0
130.0,0.008625882464737713,0.025696556590135013,0.02442449883797837,0.05989503886401877,,
130.5,0.008813149772295265,0.021749203624689125,0.023900173329692423,0.059079480703819076,,
131.0,0.008747838755036019,0.02388086172294222,0.02316234079087249,0.058810483991707616,,
131.5,0.008656128368392128,0.023494876960500902,0.02316934578980741,0.060462301665214185,,
132.0,0.008696029075211161,0.02302724172306586,0.024024963752446504,0.0601495550735748,1.070967060633577e-23,0.0
132.5,0.008580474679015196,0.024482638454658857,0.024510537664055962,0.06146372171288656,,
133.0,0.008464868945619328,0.022392329884238643,0.02428793375097651,0.06306403078973415,,
133.5,0.008449482997760834,0.023828963931098745,0.023803798721632585,0.06454871845800506,,
134.0,0.008203989203313708,0.02196805507663515,0.024771305649407244,0.06448621844579026,,
134.5,0.008326085388488117,0.02376483127321608,0.024225217679467493,0.06225700542806599,1.0919452761203456e-23,0.0
135.0,0.008516587551725244,0.023693311358827303,0.026082099924992146,0.06557071240062613,,
135.5,0.00870460157119115,0.022041362036628393,0.02585374240088621,0.064923821420196,,
136.0,0.008751143649634594,0.025012273269247022,0.027003117523718072,0.06998932039426198,,
136.5,0.00856912155090576,0.023243870283250152,0.029685923346088813,0.07104599019640973,,
137.0,0.008741317625702103,0.026892677163325395,0.030223049833315165,0.0714777124117513,4.837022758104025e-24,0.0
137.5,0.008610205523383487,0.023342473937030275,0.030500702477538024,0.07419653229476117,,
138.0,0.00878556756614319,0.025486340803329507,0.03064491626825109,0.07538225793131777,,
138.5,0.008587578836349795,0.025100844118835907,0.030489962196020924,0.07677618902532088,,
139.0,0.008729386544668647,0.024497887696415668,0.030741933256113133,0.07665052430819887,,
139.5,0.008518704908448351,0.02595406611404492,0.03133773191288129,0.07805241377936854,5.7983064675424815e-24,0.0
140.0,0.008776104580966438,0.02414468988628559,0.032035879563990226,0.0784458106908385,,
