Time,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,AIC fold,AIC hopf
0.0,,,,,,
0.5,,,,,,
1.0,,,,,,
1.5,,,,,,
2.0,,,,,,
2.5,,,,,,
3.0,,,,,,
3.5,,,,,,
4.0,,,,,,
4.5,,,,,,
5.0,,,,,,
5.5,,,,,,
6.0,,,,,,
6.5,,,,,,
7.0,,,,,,
7.5,,,,,,
8.0,,,,,,
8.5,,,,,,
9.0,,,,,,
9.5,,,,,,
10.0,,,,,,
10.5,,,,,,
11.0,,,,,,
11.5,,,,,,
12.0,,,,,,
12.5,,,,,,
13.0,,,,,,
13.5,,,,,,
14.0,,,,,,
14.5,,,,,,
15.0,,,,,,
15.5,,,,,,
16.0,,,,,,
16.5,,,,,,
17.0,,,,,,
17.5,,,,,,
18.0,,,,,,
18.5,,,,,,
19.0,,,,,,
19.5,,,,,,
20.0,,,,,,
20.5,,,,,,
21.0,,,,,,
21.5,,,,,,
22.0,,,,,,
22.5,,,,,,
23.0,,,,,,
23.5,,,,,,
24.0,,,,,,
24.5,,,,,,
25.0,,,,,,
25.5,,,,,,
26.0,,,,,,
26.5,,,,,,
27.0,,,,,,
27.5,,,,,,
28.0,,,,,,
28.5,,,,,,
29.0,,,,,,
29.5,,,,,,
30.0,,,,,,
30.5,,,,,,
31.0,,,,,,
31.5,,,,,,
32.0,,,,,,
32.5,,,,,,
33.0,,,,,,
33.5,,,,,,
34.0,,,,,,
34.5,,,,,,
35.0,,,,,,
35.5,,,,,,
36.0,,,,,,
36.5,,,,,,
37.0,0.00026510905465070846,0.06494383887081694,0.10899258462274038,0.12332073023433732,0.402577362016519,0.42143427181294496
37.5,0.0002715323160244325,0.060865285895244044,0.1068778672933539,0.12529523660447336,,
38.0,0.00028696375093534266,0.06564868935894788,0.11217292087025126,0.12972088691462383,,
38.5,0.00027686535561074994,0.07473141702117657,0.1211789791668902,0.12658638660879964,,
39.0,0.00025942998928445263,0.07754034790462865,0.12328112214317632,0.13372332886544983,,
39.5,0.0002392489478028476,0.07775659603274217,0.11966722800536442,0.13503932610313574,0.3888484556032811,0.4361379899583331
40.0,0.00023872875674622908,0.076852023743461,0.10415874947234172,0.13420255855768637,,
40.5,0.00022700032982696702,0.06668586861755975,0.08618799901642019,0.13793494514612437,,
41.0,0.0002472023233418233,0.0506219303651936,0.08439559451849263,0.13273236615229833,,
41.5,0.00027373078468955614,0.0578828069322098,0.07278181633712116,0.12774633812047737,,
42.0,0.0002826584847467873,0.04931856405675706,0.07375707727376501,0.1236204877898366,0.3657591611650876,0.41112786158081327
42.5,0.00029768309750143507,0.06360305410770707,0.0746718245638072,0.1244256331454256,,
43.0,0.0003389522761645925,0.05972785764971387,0.06931369919486291,0.11922658092484559,,
43.5,0.00032796301772225093,0.061360770688374124,0.06944186280723023,0.10859109158738646,,
44.0,0.0003570025784587934,0.06931251716396153,0.06396190334174336,0.11512017836709881,,
44.5,0.0003670979614478218,0.059135496320024086,0.06202152668499698,0.11800914039257128,0.2795940557708575,0.31009973738857066
45.0,0.00038755821097725957,0.057672858515398516,0.06515548154809774,0.10900236590385308,,
45.5,0.00038468346011388035,0.05782603948104302,0.06856678932772499,0.10361700452688924,,
46.0,0.000412921007801083,0.05680859725009466,0.06832636364241282,0.09205127650858243,,
46.5,0.0004011958459758599,0.059877937053186364,0.0744922309348687,0.09179185484882658,,
47.0,0.0004039008839539877,0.05347992226666134,0.07486611296364298,0.09164751156271558,0.0045456653200576964,0.00522269821521746
47.5,0.0003950919195359048,0.0632049836573351,0.07264078319301184,0.09009163294608107,,
