Time,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,AIC fold,AIC hopf,AIC null,Coherence factor
0.0,,,,,,,,
0.5,,,,,,,,
1.0,,,,,,,,
1.5,,,,,,,,
2.0,,,,,,,,
2.5,,,,,,,,
3.0,,,,,,,,
3.5,,,,,,,,
4.0,,,,,,,,
4.5,,,,,,,,
5.0,,,,,,,,
5.5,,,,,,,,
6.0,,,,,,,,
6.5,,,,,,,,
7.0,,,,,,,,
7.5,,,,,,,,
8.0,,,,,,,,
8.5,,,,,,,,
9.0,,,,,,,,
9.5,,,,,,,,
10.0,,,,,,,,
10.5,,,,,,,,
11.0,,,,,,,,
11.5,,,,,,,,
12.0,,,,,,,,
12.5,,,,,,,,
13.0,,,,,,,,
13.5,,,,,,,,
14.0,,,,,,,,
14.5,,,,,,,,
15.0,,,,,,,,
15.5,,,,,,,,
16.0,,,,,,,,
16.5,,,,,,,,
17.0,,,,,,,,
17.5,,,,,,,,
18.0,,,,,,,,
18.5,,,,,,,,
19.0,,,,,,,,
19.5,,,,,,,,
20.0,,,,,,,,
20.5,,,,,,,,
21.0,,,,,,,,
21.5,,,,,,,,
22.0,,,,,,,,
22.5,,,,,,,,
23.0,,,,,,,,
23.5,,,,,,,,
24.0,,,,,,,,
24.5,,,,,,,,
25.0,,,,,,,,
25.5,,,,,,,,
26.0,,,,,,,,
26.5,,,,,,,,
27.0,,,,,,,,
27.5,,,,,,,,
28.0,,,,,,,,
28.5,,,,,,,,
29.0,,,,,,,,
29.5,,,,,,,,
30.0,,,,,,,,
30.5,,,,,,,,
31.0,,,,,,,,
31.5,,,,,,,,
32.0,,,,,,,,
32.5,,,,,,,,
33.0,,,,,,,,
33.5,,,,,,,,
34.0,,,,,,,,
34.5,,,,,,,,
35.0,,,,,,,,
35.5,,,,,,,,
36.0,,,,,,,,
36.5,,,,,,,,
37.0,,,,,,,,
37.5,,,,,,,,
38.0,,,,,,,,
38.5,,,,,,,,
39.0,,,,,,,,
39.5,,,,,,,,
40.0,,,,,,,,
40.5,,,,,,,,
41.0,,,,,,,,
41.5,,,,,,,,
42.0,,,,,,,,
42.5,,,,,,,,
43.0,,,,,,,,
43.5,,,,,,,,
44.0,,,,,,,,
44.5,0.0005935836539527428,0.20376864895170715,-0.1638399019164754,0.17167953881372086,0.3892549433593268,0.5905852996121194,0.020159757028553712,9.250634344438949e-05
45.0,0.0005837170365049169,0.19618721991152177,-0.1950939785740503,0.15341012012051325,,,,
45.5,0.0005918387851440277,0.19323085708325546,-0.2146143770327173,0.1507664106628041,,,,
46.0,0.0005853272009073823,0.17370617185168422,-0.24433761112739613,0.14363369257752134,,,,
46.5,0.0005659607594070626,0.1536909228536619,-0.26429994707122917,0.14388866901025055,,,,
47.0,0.0005468248893180608,0.1371499022269909,-0.27881994544791655,0.1336439839362362,,,,
47.5,0.0005546407699506983,0.13748252305938718,-0.2869476250031638,0.1412273325801492,,,,
48.0,0.0005659768279281233,0.13057619972346304,-0.29352903472734104,0.1499158043988978,,,,
48.5,0.0005713925904964681,0.12379834469468409,-0.2893102117648039,0.165366793258462,,,,
49.0,0.0005781382964471671,0.12213482645186642,-0.2888494942870194,0.16018043184101693,,,,
49.5,0.0005854463456855609,0.11549816193442757,-0.30892163029718683,0.16193586856945635,,,,
50.0,0.0005918929488522909,0.11540897050449724,-0.31771031250947807,0.15836916584111743,,,,
50.5,0.0005873891768848876,0.10459453440478172,-0.33633795025093627,0.1690416729119261,,,,
51.0,0.0005947450439003617,0.10926178707512628,-0.3386615834954788,0.16116109202075377,,,,
